,MINERAL_DEPOSIT_NO,DEPOSIT_NAME,COMMODITY_CODE,COMMODITY_NAME,COMMODITY_CONFIDENCE,SIGNIFICANCE,SITE_NO,EASTING_GDA2020,NORTHING_GDA2020,ZONE_GDA2020,LONGITUDE_GDA2020,LATITUDE_GDA2020,LONGITUDE_GDA94,LATITUDE_GDA94,flag
10391,11253,TWIGHAMS SOUTH,Cu,Copper,,MAJOR,2042737,314860.08,6312224.26,54,139.0112123,-33.3132125,139.011202,-33.3131984,0
10846,11655,REDRUTH NORTH,CLAY,Clay,,MAJOR,2091149,308179.38,6274138.3,54,138.93133930000002,-33.655342499999996,138.931329,-33.6553284,0
675,647,TWIGHAMS,Au,Gold,,MAJOR,210214,314970.47,6313044.27,54,139.0125653,-33.305839500000005,139.012555,-33.305825399999996,0
9215,10201,BOOBOROWIE,MSLT,Metasiltstone,,MAJOR,1984402,297190.76,6329341.52,54,138.8253453,-33.1557435,138.825335,-33.1557294,0
9814,10723,HILL RIVER,MSLT,Metasiltstone,,MAJOR,2012530,276880.73,6278291.56,54,138.59508630000002,-33.6118085,138.595076,-33.611794399999994,0
257,276,CALDERWOOD,CLAY,Clay,,MAJOR,209857,578665.64,6193093.28,53,135.8558677,-34.4005964,135.85585790000002,-34.4005822,0
1615,1871,ST PATRICK,Au,Gold,,MINOR,242677,314228.7,6148412.87,54,138.96952119999997,-34.7895785,138.9695108,-34.789564399999996,0
7494,8764,FITTON TALC 23N,TALC,Talc,,MAJOR,1366621,356420.75,6684101.51,54,139.51192340000003,-29.965541499999997,139.5119132,-29.965527500000004,0
1792,2112,BALCANOONA,Cu,Copper,,MAJOR,477303,329977.19,6601864.19,54,139.22462240000002,-30.703928499999996,139.2246122,-30.703914500000003,0
7572,8843,KAPUNDA,DIA,Diamond,,MAJOR,1421759,306520.71,6198031.46,54,138.89661619999998,-34.3409835,138.89660590000003,-34.3409694,0
3724,4869,MOUNT PLEASANT,PHOS,Phosphate,,MAJOR,478013,309651.14,6193487.74,54,138.92962119999999,-34.3825135,138.9296108,-34.3824994,0
9634,10572,WIRRAWILKA GAP EAST,Cu,Copper,,MAJOR,2007819,277810.74,6473131.54,54,138.6516384,-31.8559085,138.65162819999998,-31.855894399999997,0
1641,1894,GOLDEN BLOSSOM,OCR,Ochre,,MAJOR,242654,314136.86,6148129.17,54,138.9684552,-34.7921185,138.96844480000001,-34.7921044,0
7222,8525,GUMS NO.2,LMST,Limestone,,MAJOR,1137143,459130.63,5806901.52,54,140.5352327,-37.8844686,140.53522180000002,-37.884454600000005,0
5156,6549,WILPENA HILL PTY,Ag,Silver,,MINOR,479695,273615.78,6515517.57,54,138.6171124,-31.4729964,138.6171023,-31.4729823,1
7617,8883,GARFORD,OSH,Oil Shale,,MAJOR,1434431,430000.77,6735001.48,53,134.2777391,-29.5126153,134.27772969999998,-29.5126011,0
596,581,MOUNT JAMES NO.12,BAR,Barite,,MAJOR,210267,224970.99,6595774.55,54,138.12745959999998,-30.739203399999997,138.1274496,-30.7391893,0
9297,10272,EMUVILLE NO.3,SLST,Siltstone,,MINOR,1988058,306700.68,6248221.48,54,138.90973430000003,-33.8886695,138.909724,-33.8886554,0
7653,8914,NELSON WHITING,LMST,Limestone,,MAJOR,1585138,680668.45,6101112.97,53,136.9850075,-35.216764399999995,136.98499750000002,-35.216750299999994,0
10259,11131,OOROOWILANIE NO.2,CLAY,Clay,,MAJOR,2017836,270920.48,6870170.72,54,138.6645336,-28.2745554,138.6645236,-28.2745414,0
2151,3200,LIVELYS FIND SOUTH,Au,Gold,,MAJOR,425002,344180.72,6642551.52,54,139.3789874,-30.3388615,139.37897719999998,-30.338847499999996,0
10073,10967,PARNAROO NO.6,MSLT,Metasiltstone,,MAJOR,2016591,321955.64,6345422.34,54,139.0938853,-33.0151245,139.093875,-33.0151104,0
1595,1854,GERMANIA,Au,Gold,?,MAJOR,242717,315084.28,6149479.94,54,138.9791022,-34.780117499999996,138.97909180000002,-34.7801034,0
5028,6419,MOUNT NEVILLE,BAR,Barite,,MAJOR,479565,301569.7,6496559.42,54,138.9073584,-31.6490685,138.90734819999997,-31.6490545,0
4002,5266,DELUSION HILL,Cu,Copper,,MAJOR,478410,221738.75,6678750.26,54,138.11578459999998,-29.9906294,138.1157746,-29.990615299999998,0
5312,6758,SINGS,SHA,Shale,,MAJOR,479904,299843.6,6240393.64,54,138.8338443,-33.957938500000004,138.833834,-33.9579244,0
8602,9674,FOOTE,Zn,Zinc,,MINOR,1815994,332440.69,6212031.46,54,139.1809882,-34.2193045,139.18097780000002,-34.2192904,0
10222,11102,KANYAKA NO.2,LMST,Limestone,,MAJOR,2017183,248469.48,6452445.03,54,138.3364175,-32.0362364,138.3364074,-32.0362223,0
8105,9253,HORSESHOE DAM,Cu,Copper,,MAJOR,1754505,724310.63,6408571.5,53,137.3858826,-32.4374244,137.3858726,-32.4374103,0
10943,11744,ALAWOONA,CALI,Calcrete,,MAJOR,2096584,455554.39,6155577.16,54,140.514461,-34.7409456,140.5144503,-34.740931599999996,0
8633,9701,OD NO.1,LMST,Limestone,,MAJOR,1816199,681081.91,6631205.02,53,136.88567769999997,-30.437676399999997,136.8856679,-30.437662300000003,0
10709,11537,HILLS NO.3,Cu,Copper,,MAJOR,2078542,333267.7,6691184.47,54,139.2731504,-29.898720500000003,139.27314019999997,-29.8987065,0
1168,1106,HOMEWARD BOUND,Au,Gold,,MAJOR,209648,393923.05,6416133.07,54,139.87223319999998,-32.3867715,139.8722228,-32.3867575,0
5591,7123,COWELL JADE 54,JADE,Jade,,MAJOR,480269,680540.68,6292691.5,53,136.9433246,-33.4900734,136.9433146,-33.4900593,0
4273,5545,POTOSI,Ag,Silver,,MAJOR,478689,289270.73,6116391.56,54,138.6888332,-35.0732425,138.6888229,-35.0732284,1
4884,6259,LITTLE HELL,MAGS,Magnesite,,MAJOR,479404,230730.94,6349041.54,54,138.11919740000002,-32.963795399999995,138.11918730000002,-32.9637813,0
8760,9808,HECTOR,Ag,Silver,,MAJOR,1852043,610050.78,6385001.49,53,136.1736527,-32.6671674,136.1736429,-32.6671533,1
1313,1568,LONG HILL CREEK,Pb,Lead,,MAJOR,239839,324640.66,6211821.46,54,139.0963092,-34.2199125,139.0962988,-34.2198984,0
10295,11166,HORSESHOE GRAVE,GRVL,Gravel,,MAJOR,2017873,334570.95,7030312.97,53,133.3351283,-26.838986300000002,133.3351191,-26.838972100000003,0
10412,11272,HILLSIDE,Cu,Copper,,MAJOR,2044941,763473.48,6174479.0,53,137.87084040000002,-34.5376924,137.8708302,-34.537678299999996,0
7963,9143,CULTANA,Cu,Copper,,MAJOR,1753851,742130.54,6355171.47,53,137.5891185,-32.9149154,137.58910840000001,-32.914901300000004,0
2729,3702,KALBEEBA NO.1,SAND,Sand,,MAJOR,476845,298260.72,6167331.56,54,138.7996212,-34.6160625,138.7996109,-34.6160484,0
2236,3305,ATHELSTONE NO.2,SAND,Sand,,MAJOR,476447,290450.72,6137961.5,54,138.70719119999998,-34.8791385,138.70718090000003,-34.8791244,0
7004,8386,MURBKO,SIS,Silica sand,,MAJOR,1104625,375210.64,6214381.46,54,139.6455011,-34.2041245,139.6454906,-34.2041105,0
3893,5144,NEWINGTON,Cu,Copper,,MAJOR,478288,746646.92,6223929.53,53,137.6735074,-34.0963864,137.67349730000004,-34.0963723,0
5385,6845,WILGENA ASSOCIATED,Au,Gold,,MAJOR,479991,456263.79,6603337.48,53,134.543283,-30.7019703,134.5432735,-30.7019561,0
10674,11501,BEN 158,BRL,Beryl,,MAJOR,2078076,449000.9,6521013.59,54,140.4632862,-31.4444675,140.46327580000002,-31.444453499999998,0
1383,1626,CRITTENDEN,CLAY,Clay,,MAJOR,239902,330277.86,6198915.79,54,139.1549372,-34.3371765,139.15492680000003,-34.337162400000004,0
3787,4978,LAKE ADA,GYPS,Gypsum,,MAJOR,478122,709460.64,6023471.5,53,137.3212294,-35.9106574,137.32121930000002,-35.9106433,0
6015,7508,ELEPHANT LAKE,GYPS,Gypsum,,MAJOR,830797,360740.62,6055001.51,54,139.4619041,-35.638997499999995,139.4618936,-35.6389834,0
10774,11596,PILTIMITIAPPA,SLAT,Slate,,MAJOR,2090090,323014.91,6309207.94,54,139.0981783,-33.3417755,139.098168,-33.3417614,0
2909,3904,HOWE ALLUVIALS,Au,Gold,,MAJOR,477047,241980.12,6319882.1,54,138.23119340000002,-33.2292304,138.2311832,-33.2292163,0
5519,7059,BORLACE,LMST,Limestone,,MAJOR,480205,740030.54,6241391.44,53,137.5970565,-33.9406014,137.5970464,-33.9405873,0
8442,9516,MOUNT BRYAN EAST,CLAY,Clay,,MAJOR,1803866,307609.63,6285195.97,54,138.9275853,-33.5555705,138.927575,-33.5555564,0
224,240,BANTU,U,Uranium,,MAJOR,209831,581130.75,6179891.51,53,135.8839387,-34.5194484,135.8839289,-34.5194342,0
3161,4216,DUCERS SLIDING ROCK,Cu,Copper,,MAJOR,477359,270037.77,6593319.58,54,138.59722649999998,-30.770902399999997,138.5972164,-30.770888300000003,0
10172,11063,BOWER BOUNDARY NO.2,CALI,Calcrete,,MAJOR,2016761,348123.92,6244123.81,54,139.35677719999998,-33.9323965,139.3567668,-33.9323825,0
1064,986,WINDAMERTA WEST,U,Uranium,,MAJOR,209743,386355.13,6465545.98,54,139.7976573,-31.9403425,139.79764690000002,-31.940328499999996,0
10309,11180,CARAWEENA,CLAY,Clay,,MAJOR,2017935,412069.43,6770461.62,54,140.09556940000002,-29.1914765,140.0955591,-29.1914625,0
7844,9061,WALTOWA SWAMP,DIAT,Diatomite,,MAJOR,1746597,355680.63,6058611.46,54,139.4066821,-35.6057345,139.4066716,-35.605720399999996,0
1377,1610,FRAHNS,Cu,Copper,,MAJOR,239964,326123.41,6116803.95,54,139.0928802,-35.0765545,139.09286980000002,-35.0765404,0
7810,9033,MIRANDA,Cu,Copper,,MAJOR,1719578,773800.37,6218651.55,53,137.9691674,-34.1371684,137.96915719999998,-34.13715429999999,0
5181,6576,EIGHT MILE SWAMP,PEAT,Peat,,MAJOR,479722,481850.55,5791061.51,54,140.7932017,-38.0279696,140.79319080000002,-38.027955600000006,0
3005,4022,SALTER AND HOGANS,Au,Gold,,MAJOR,477165,320403.53,6283614.73,54,139.0650113,-33.5720545,139.065001,-33.5720404,0
9153,10141,BAKER,MAGS,Magnesite,,MAJOR,1983575,317900.64,6248971.55,54,139.0309372,-33.883903499999995,139.0309269,-33.883889399999994,0
6391,7857,SPRINGMOUNT,SiO2,Silica,,MINOR,834507,276400.78,6073901.54,54,138.53622819999998,-35.453252500000005,138.5362179,-35.4532384,0
1624,1876,LUCKY HORSESHOE,Au,Gold,,MAJOR,242672,315225.13,6147990.12,54,138.9803132,-34.793569500000004,138.9803028,-34.7935554,0
9288,10264,OLD RESERVOIR,DOL,Dolomite,,MAJOR,1987998,289950.79,6322646.45,54,138.7462193,-33.2147075,138.74620900000002,-33.2146934,0
10069,10963,PARNAROO NO.2,MSLT,Metasiltstone,,MAJOR,2016587,314461.45,6350883.06,54,139.01479730000003,-32.9646455,139.014787,-32.9646314,0
10966,11766,NUNKERI,CALI,Calcrete,,MAJOR,2096607,406262.26,6107610.9,54,139.97064,-35.1700755,139.9706294,-35.170061499999996,0
5791,7324,DELABOLE,SLAT,Slate,,MAJOR,480470,277312.03,6090481.08,54,138.5507812,-35.3040985,138.5507709,-35.3040844,0
10317,11188,WILLALOOKA,SAND,Sand,,MINOR,2018154,441548.8,5971002.86,54,140.3481219,-36.404363599999996,140.3481112,-36.4043496,0
10959,11759,TOLMER ROCKS,LMST,Limestone,,MAJOR,2096599,393997.16,6024842.5,54,139.825144,-35.9149925,139.8251334,-35.9149785,0
804,818,CURRANT BUN WEST,Au,Gold,,MAJOR,210089,444355.62,6399786.45,54,140.4074111,-32.5378855,140.40740060000002,-32.5378715,0
10090,10984,PARNAROO NORTH,MSLT,Metasiltstone,,MAJOR,2016608,323774.58,6349340.92,54,139.11410130000002,-32.9800925,139.114091,-32.9800784,0
7774,9000,FITTON ALPHA,TALC,Talc,,MAJOR,1621622,349880.71,6689276.45,54,139.4448884,-29.9180735,139.44487819999998,-29.9180595,0
8585,9657,MUNDUNNIE,LMST,Limestone,,MAJOR,1814733,289375.75,6293801.54,54,138.7333243,-33.4745695,138.73331399999998,-33.4745554,0
6773,8185,14 MILE CREEK NO.2,SAND,Sand,,MAJOR,940651,728681.16,6346042.45,53,137.4476885,-33.000083399999994,137.4476785,-33.0000693,0
1069,989,JAGGED ROCKS,U,Uranium,,MAJOR,209746,382220.7,6471031.51,54,139.75459130000002,-31.8904425,139.7545809,-31.8904285,0
9240,10226,COLLEY HILL,GRNT,Granite,,MAJOR,1986471,476440.73,6338551.56,53,134.7475419,-33.0914043,134.74753230000002,-33.0913901,0
2241,3308,BOURNE CHAS AND SON,CLAY,Clay,,MAJOR,476450,275400.81,6135851.57,54,138.5420843,-34.8949315,138.54207399999999,-34.8949174,0
2139,3187,WEARING HILLS I,Cu,Copper,,MAJOR,424986,331163.6,6590357.47,54,139.23511340000002,-30.8078795,139.2351032,-30.807865500000002,0
7521,8794,RENMARK WEST,SAND,Sand,,MAJOR,1375987,469077.55,6217283.11,54,140.664424,-34.1849756,140.6644134,-34.1849616,0
905,893,MARJORIE,Ag,Silver,,MINOR,209996,410590.68,6448386.55,54,140.0524392,-32.0972985,140.05242880000003,-32.0972845,1
1336,1578,CORONATION HILL,Ag,Silver,,MINOR,239841,327025.58,6236142.65,54,139.1270272,-34.0010825,139.1270168,-34.0010684,1
10920,11721,MORGAN AND HOWE,LMST,Limestone,,MAJOR,2096150,402449.16,5884442.43,54,139.90103090000002,-37.181365500000005,139.90102019999998,-37.1813514,0
10494,11345,ARROWIE GORGE EAST,Mn,Manganese,,MAJOR,2057270,332060.04,6599337.8,54,139.2459504,-30.7270105,139.24594019999998,-30.726996500000002,0
4341,5629,COUNTESS OF JERSEY,Au,Gold,,MAJOR,478774,427740.7,6397611.53,54,140.2303141,-32.5565455,140.23030359999998,-32.5565315,0
8308,9399,GRAINGER 3,Au,Gold,,MAJOR,1765933,320857.67,6371517.26,54,139.0872013,-32.7796865,139.087191,-32.779672399999995,0
2889,3876,GOLDEN EAGLE,Au,Gold,,MAJOR,477019,319815.72,6285101.56,54,139.0589813,-33.558552500000005,139.05897099999999,-33.558538399999996,0
9581,10521,KENMORE,Cu,Copper,,MAJOR,2006844,751400.47,6164471.46,53,137.7423894,-34.630858399999994,137.7423792,-34.6308443,0
8998,10019,SCOTTYS GRAVE,MSLT,Metasiltstone,,MAJOR,1904450,307750.71,6200411.5,54,138.9105122,-34.3197625,138.9105019,-34.3197484,0
1990,3073,HENDERSON,Au,Gold,,MAJOR,374480,499516.37,6585142.05,53,134.99494099999998,-30.8669603,134.9949314,-30.8669461,0
4603,5913,ST GEORGE,Au,Gold,,MAJOR,479058,314550.68,6148121.55,54,138.97297419999998,-34.7922625,138.9729638,-34.7922484,0
4783,6126,MILLERS,Cu,Copper,,MAJOR,479271,338000.67,6376271.5,54,139.2709993,-32.7394805,139.270989,-32.7394665,0
9031,10050,BOOTHBY,U,Uranium,,MAJOR,1969223,643420.76,6263971.53,53,136.5485386,-33.754639399999995,136.5485287,-33.754625299999994,0
10819,11633,BAYONET,Au,Gold,,MAJOR,2090312,455622.88,6435704.78,54,140.5290821,-32.2143755,140.5290716,-32.2143615,0
1999,3084,KINGFISHER,Au,Gold,,MAJOR,374493,508104.94,6561611.1,53,135.084969,-31.0792583,135.0849594,-31.0792441,0
3488,4599,HOPES,Au,Gold,,MAJOR,477743,296807.5,6115654.73,54,138.77125519999998,-35.081428499999994,138.7712448,-35.0814144,0
5531,7069,COCK HILL,U,Uranium,,MINOR,480215,651290.67,6271001.52,53,136.6322816,-33.6901644,136.6322717,-33.6901503,0
7622,8887,GLENCOE,U,Uranium,,MAJOR,1865069,476770.69,6592621.49,54,140.7571822,-30.7992425,140.7571717,-30.799228499999998,0
4012,5278,CURRENCY CREEK,SDST,Sandstone,,MAJOR,478422,295900.75,6076851.49,54,138.7516772,-35.4308675,138.7516668,-35.4308534,0
2207,3238,FOUNTAIN HEAD,Ag,Silver,,MINOR,425048,296180.7,6556100.74,54,138.8627544,-31.111278499999997,138.86274419999998,-31.1112645,1
9766,10679,FORREST NO.2,MSLT,Metasiltstone,,MAJOR,2010911,268000.8,6345111.53,54,138.5165904,-33.007771500000004,138.5165802,-33.007757399999996,0
2183,3221,WILKAWILLINA GORGE,FLUR,Fluorite,,MAJOR,425025,301772.7,6535779.49,54,138.9173464,-31.2954735,138.9173362,-31.295459499999996,0
576,565,LAKE REYNOLDS,SDST,Sandstone,,MAJOR,210282,607829.5,6601613.22,53,136.1261178,-30.7134484,136.1261081,-30.7134343,0
8559,9632,YERADA 32,Fe,Iron,,MAJOR,1811186,373230.75,6778841.57,53,133.6971122,-29.1125663,133.6971029,-29.112552100000002,0
56,76,MOUNT DAVIES NO.3,CYP,Chrysoprase,,MAJOR,209630,517829.44,7109019.81,52,129.1783648,-26.1380122,129.1783561,-26.137998,0
178,196,MAGAZINE HILL,CLAY,Clay,,MAJOR,209777,706339.9,6491620.79,53,137.1770446,-31.6921994,137.17703469999998,-31.692185300000002,0
10946,11747,WUNKAR,CALI,Calcrete,,MAJOR,2096587,435369.52,6182962.04,54,140.296055,-34.4929285,140.2960444,-34.492914500000005,0
207,222,KOPPIO HOMESTEAD,GRPH,Graphite,,MAJOR,209811,579450.71,6189371.53,53,135.86475369999997,-34.434096399999994,135.8647439,-34.434082200000006,0
10107,11001,SWAN REACH RIDGE,DOL,Dolomite,,MAJOR,2016692,379521.14,6176475.92,54,139.6869541,-34.5463885,139.6869436,-34.5463745,0
8606,9677,DUTTONS TROUGH,CALI,Calcrete,,MAJOR,1815997,320610.68,6262491.49,54,139.06297719999998,-33.7624995,139.0629669,-33.7624854,0
6453,7901,BONNIE DOON,LMST,Limestone,,MAJOR,837354,478650.6,5817951.48,54,140.7575377,-37.7855416,140.75752680000002,-37.7855276,0
10357,11224,BURTA TANK,Ag,Silver,,MINOR,2025961,494900.66,6411263.9,54,140.94575509999999,-32.43573060000001,140.94574450000002,-32.4357166,1
6066,7554,COMAUM GARTNER,SAND,Sand,,MAJOR,830856,488100.57,5883381.53,54,140.86591769999998,-37.195949600000006,140.86590680000003,-37.195935600000006,0
9373,10331,TRIAL HOLE,ASBT,Asbestos,,MAJOR,1995113,328350.66,6247431.53,54,139.1435802,-33.8995395,139.14356980000002,-33.899525399999995,0
1592,1851,COBRA,Au,Gold,,MAJOR,242720,315424.52,6149441.85,54,138.9828102,-34.7805225,138.9827998,-34.780508399999995,0
5934,7442,SAMUEL,SDST,Sandstone,,MAJOR,830364,301800.74,6115401.48,54,138.8259282,-35.0847045,138.8259178,-35.0846904,0
1832,2155,LOCH NESS,Cu,Copper,,MAJOR,268323,325402.68,6627859.46,54,139.18125940000002,-30.468809499999995,139.1812492,-30.468795500000002,0
10203,11087,PRAIRIE DAM,U,Uranium,,MAJOR,2017020,404692.51,6343871.59,54,139.97931719999997,-33.039496500000006,139.97930669999997,-33.0394825,0
434,447,MOUNT STURT,KAO,Kaolin,,MAJOR,210388,535730.75,6374371.48,53,135.3814948,-32.7679663,135.3814851,-32.7679521,0
1582,1843,BIRDWOOD,SIS,Silica sand,,MINOR,242728,314750.66,6147941.51,54,138.9751192,-34.7939215,138.97510880000002,-34.793907399999995,0
6308,7773,KEYNES GAP,SAND,Sand,,MAJOR,832119,329100.7,6165321.53,54,139.13541719999998,-34.6397825,139.13540680000003,-34.6397684,0
352,360,KENELLA ROCKS,Ag,Silver,,MINOR,210480,496230.74,6578941.49,53,134.960549,-30.9229043,134.9605395,-30.9228901,1
2,33,OOLDEA,Fe,Iron,,MAJOR,209556,779511.42,6607901.66,52,131.91601740000002,-30.6288703,131.9160083,-30.6288561,0
9830,10737,NORTH BOUNDARY,MSLT,Metasiltstone,,MAJOR,2015282,335429.11,6148353.25,54,139.2011222,-34.7937605,139.2011118,-34.793746399999996,0
6037,7527,SOUTH HILL EXTENDED,U,Uranium,,MAJOR,830841,465360.63,6420181.46,54,140.63184909999998,-32.3547575,140.63183859999998,-32.3547435,0
1216,1459,TALISKER,Ag,Silver,,MINOR,239379,242195.91,6054261.5,54,138.1534753,-35.6218445,138.15346499999998,-35.6218304,1
4409,5755,BALHANNAH,Cu,Copper,,MAJOR,2070447,299772.33,6126625.19,54,138.8063982,-34.9831695,138.8063878,-34.9831554,0
4520,5843,STEETLEY NO.1,AB,Albite,,MINOR,478988,309520.69,6143971.54,54,138.9170852,-34.828733500000006,138.91707480000002,-34.8287194,0
3258,4334,MOUNT PAINTER NO.3,U,Uranium,,MAJOR,477477,339079.08,6655621.32,54,139.3279334,-30.2202985,139.3279232,-30.220284499999998,0
9252,10237,BIRKSGATE,Ag,Silver,,MINOR,1987143,439470.72,6535701.53,54,140.3638892,-31.3114915,140.3638788,-31.311477500000002,1
106,123,GERAGHTY HILL,OPAL,Opal,,MAJOR,209693,465629.48,6788873.45,53,134.6470261,-29.027886300000002,134.6470166,-29.027872100000003,0
6343,7802,OORALLAW HARLEQUIN,CALI,Calcrete,,MAJOR,832732,745170.54,6245001.43,53,137.6516095,-33.9068924,137.65159939999998,-33.9068783,0
320,330,LAKE MALATA,GYPS,Gypsum,,MAJOR,210008,546700.72,6214651.51,53,135.5069418,-34.2081204,135.5069321,-34.2081062,0
7462,8738,OPAL RIDGE,OPAL,Opal,,MAJOR,1345222,493550.8,6763781.56,53,134.933623,-29.254807300000003,134.9336135,-29.254793199999998,0
8978,9999,SANDERSON,LMST,Limestone,,MAJOR,1904233,442240.63,6011831.49,54,140.3588479,-36.0363336,140.3588372,-36.0363196,0
1414,1654,KALIMNA,MSLT,Metasiltstone,,MAJOR,239866,321613.85,6184551.08,54,139.0578062,-34.4651925,139.0577958,-34.4651784,0
127,144,PLUTO,OPAL,Opal,,MAJOR,209726,471829.48,6790573.48,53,134.71074009999998,-29.012694300000003,134.71073059999998,-29.012680100000004,0
2057,3125,SWEET NELL,Ag,Silver,,MINOR,374579,710351.83,6492413.39,53,137.21917659999997,-31.6843244,137.2191667,-31.6843103,1
3163,4220,CAMEL FLAT,MAGS,Magnesite,,MAJOR,477363,247776.67,6615668.88,54,138.3702935,-30.564926399999997,138.3702834,-30.564912300000003,0
3210,4284,LADY LENNON,Cu,Copper,,MAJOR,477427,277630.79,6573281.48,54,138.6721435,-30.9530104,138.6721334,-30.9529963,0
755,764,CUTANA NO.2,FEORE,Iron Ore,,MAJOR,210122,468972.87,6432629.77,54,140.6706461,-32.2425645,140.6706356,-32.2425505,0
9678,10607,IDA DAM,U,Uranium,,MAJOR,2008297,234600.94,6581701.59,54,138.22429250000002,-30.8682284,138.2242824,-30.868214299999998,0
7562,8833,MOPPA SAND NO.1,SIS,Silica sand,,MAJOR,1421499,314320.69,6186581.54,54,138.9788852,-34.4456055,138.9788748,-34.4455914,0
10278,11149,MOPPA COLLINA,GRVL,Gravel,,MAJOR,2017853,393131.31,6735120.78,54,139.8973754,-29.508928499999996,139.89736519999997,-29.508914500000003,0
3164,4221,DEPOT SPRINGS EAST,Mn,Manganese,,MAJOR,477364,284160.77,6629681.53,54,138.75228049999998,-30.445684399999998,138.75227040000001,-30.445670399999997,0
3375,4472,BELT BAY EAST,CELES,Celestite,,MAJOR,477616,697750.71,6785741.53,53,137.03087680000002,-29.041258399999997,137.030867,-29.041244300000002,0
10500,11348,WARRAWEENA,Cu,Copper,,MAJOR,2057738,271842.83,6592535.39,54,138.61589850000001,-30.7783204,138.61588840000002,-30.778306300000004,0
4764,6094,ERINA SOUTH,Au,Gold,,MAJOR,479239,323936.11,6435292.48,54,139.1319813,-32.205169500000004,139.131971,-32.2051555,0
4641,5945,WILLIAMS NO.1,QTZE,Quartzite,,MAJOR,479090,314650.7,6146001.53,54,138.9735992,-34.8113865,138.97358880000002,-34.811372399999996,0
2769,3731,MARSTERS,SIS,Silica sand,,MAJOR,476874,301600.71,6168651.48,54,138.8363362,-34.6048195,138.83632580000003,-34.604805400000004,0
6826,8227,GAS PIPELINE TIRRAWARRA 2,SHA,Shale,,MINOR,1060947,415300.78,6942101.54,54,140.1413925,-27.6425245,140.1413823,-27.642510499999997,0
9785,10698,MULLAGUNDI,GRNT,Granite,,MAJOR,2011137,587310.75,6326741.45,53,135.93669169999998,-33.1946644,135.93668190000002,-33.1946502,0
4801,6150,L.J. ANESBURY,MAGS,Magnesite,,MAJOR,479295,280550.79,6408501.56,54,138.6657724,-32.4390235,138.6657622,-32.439009399999996,0
8690,9747,MURRAY FLATS,Au,Gold,,MAJOR,1849090,340300.7,6201071.5,54,139.2642512,-34.3193375,139.2642408,-34.3193234,0
3460,4575,ANGAS RIVER,SAND,Sand,,MINOR,477719,307019.85,6098928.73,54,138.87929119999998,-35.2341535,138.87928080000003,-35.2341394,0
7853,9069,HACKS,LMST,Limestone,,MAJOR,1747545,466385.6,5796691.47,54,140.61725769999998,-37.976786600000004,140.6172468,-37.976772600000004,0
9855,10759,COADS,Co,Cobalt,,MINOR,2015589,328177.95,6511048.85,54,139.1903674,-31.522696500000002,139.1903572,-31.522682500000002,0
7436,8710,LOWAN NO.2,SAND,Sand,,MAJOR,1220662,378361.59,6135727.08,54,139.6684401,-34.9136195,139.6684296,-34.9136055,0
4162,5444,CULVERS,SLAT,Slate,,MAJOR,478588,277340.88,6120769.98,54,138.5592702,-35.0312335,138.55925990000003,-35.0312194,0
9701,10626,BARUNGA CREEK,SAND,Sand,,MAJOR,2009421,239530.96,6256371.54,54,138.1864644,-33.800796399999996,138.1864542,-33.800782299999995,0
3089,4138,COMMONWEALTH HILL,Fe,Iron,,MAJOR,477281,446650.75,6691271.52,53,134.4473711,-29.908082300000004,134.4473617,-29.908068100000005,0
10406,11268,BLYTH,SLAT,Slate,,MAJOR,2044388,309528.02,6271288.22,54,138.94526430000002,-33.6812745,138.945254,-33.6812604,0
8497,9567,FREEWAY,Cu,Copper,,MAJOR,1804234,325500.66,6112751.51,54,139.08519919999998,-35.1129685,139.0851888,-35.1129544,0
3832,5053,ALLEN,Cu,Copper,,MAJOR,478197,761980.48,6223121.55,53,137.83978340000002,-34.0999364,137.8397732,-34.0999223,0
5815,7347,MOUNT JAGGED RUTILE,RT,Rutile,,MAJOR,480493,277440.75,6080031.54,54,138.5493522,-35.3982635,138.5493419,-35.3982494,0
9515,10460,STOKES BAY,LMST,Limestone,,MAJOR,1997360,695400.65,6054131.46,53,137.1580404,-35.6373264,137.1580303,-35.6373123,0
5145,6536,WARDS BORE,Zn,Zinc,,MINOR,479682,306947.31,6565192.27,54,138.9773284,-31.031118499999998,138.97731819999998,-31.031104499999998,0
9969,10868,RAL RAL NO.1,CALI,Calcrete,,MAJOR,2016232,469956.92,6227107.03,54,140.674307,-34.0964036,140.6742964,-34.0963896,0
1547,1770,RANGE,BAR,Barite,,MAJOR,241009,294160.75,6145061.48,54,138.7495002,-34.8159215,138.7494899,-34.81590739999999,0
3351,4445,BLACK SHALE,Cu,Copper,,MAJOR,477589,788200.48,6705551.53,53,137.9799286,-29.7467864,137.9799186,-29.7467723,0
9217,10203,COCKBURN,AMPH,Amphibolite,,MAJOR,1984425,504820.69,6447321.44,54,141.0510981,-32.1104416,141.0510875,-32.1104276,0
113,130,SHELL PATCH,OPAL,Opal,,MAJOR,209691,456129.53,6812173.48,53,134.5503751,-28.817293300000003,134.5503657,-28.817279100000004,0
293,308,MARRIE,CLAY,Clay,,MAJOR,209888,567829.51,6147522.28,53,135.7416267,-34.812290399999995,135.7416169,-34.81227620000001,0
